Sample,Voltage,3rd_Harmonic,5th_Harmonic,7th_Harmonic
1,202.7088861,0.33,0.2,0.14
2,297.5183965,0.33,0.2,0.14
3,279.793039,0.33,0.2,0.14
4,234.9898433,0.33,0.2,0.14
5,233.7523563,0.33,0.2,0.14
6,264.7169414,0.33,0.2,0.14
7,275.5979507,0.33,0.2,0.14
8,253.7027009,0.33,0.2,0.14
9,237.4466502,0.33,0.2,0.14
10,253.4949408,0.33,0.2,0.14
11,275.5276834,0.33,0.2,0.14
12,264.9348652,0.33,0.2,0.14
13,233.9310762,0.33,0.2,0.14
14,234.7731979,0.33,0.2,0.14
15,279.42223,0.33,0.2,0.14
16,297.7382819,0.33,0.2,0.14
17,203.9362977,0.33,0.2,0.14
18,1.73223222,0.33,0.2,0.14
19,-201.4744904,0.33,0.2,0.14
20,-297.2913392,0.33,0.2,0.14
21,-280.1623531,0.33,0.2,0.14
22,-235.2095589,0.33,0.2,0.14
23,-233.5757732,0.33,0.2,0.14
24,-264.4975753,0.33,0.2,0.14
25,-275.6659654,0.33,0.2,0.14
26,-253.9108717,0.33,0.2,0.14
27,-237.4488919,0.33,0.2,0.14
28,-253.287615,0.33,0.2,0.14
29,-275.4551742,0.33,0.2,0.14
30,-265.1513246,0.33,0.2,0.14
31,-234.1119078,0.33,0.2,0.14
32,-234.5596374,0.33,0.2,0.14
33,-279.0499751,0.33,0.2,0.14
34,-297.9510236,0.33,0.2,0.14
35,-205.1566932,0.33,0.2,0.14
36,-3.464399327,0.33,0.2,0.14
1,213.0018789,0.36,0.22,0.15
2,314.0277336,0.36,0.22,0.15
3,292.0533379,0.36,0.22,0.15
4,238.5783868,0.36,0.22,0.15
5,231.6460884,0.36,0.22,0.15
6,261.4649848,0.36,0.22,0.15
7,272.2399749,0.36,0.22,0.15
8,248.7743714,0.36,0.22,0.15
9,230.9484707,0.36,0.22,0.15
10,247.6611531,0.36,0.22,0.15
11,271.8352875,0.36,0.22,0.15
12,262.5435805,0.36,0.22,0.15
13,232.4455637,0.36,0.22,0.15
14,237.218918,0.36,0.22,0.15
15,289.8780971,0.36,0.22,0.15
16,315.0694313,0.36,0.22,0.15
17,219.4999992,0.36,0.22,0.15
18,5.536752344,0.36,0.22,0.15
19,-211.6796566,0.36,0.22,0.15
20,-313.7959904,0.36,0.22,0.15
21,-292.4833102,0.36,0.22,0.15
22,-238.8601927,0.36,0.22,0.15
23,-231.4933939,0.36,0.22,0.15
24,-261.2450037,0.36,0.22,0.15
25,-272.3138634,0.36,0.22,0.15
26,-248.9983353,0.36,0.22,0.15
27,-230.9556514,0.36,0.22,0.15
28,-247.4400052,0.36,0.22,0.15
29,-271.7473785,0.36,0.22,0.15
30,-262.7548717,0.36,0.22,0.15
31,-232.6124749,0.36,0.22,0.15
32,-236.957051,0.36,0.22,0.15
33,-289.4383439,0.36,0.22,0.15
34,-315.2545793,0.36,0.22,0.15
35,-220.776781,0.36,0.22,0.15
36,-7.38200792,0.36,0.22,0.15
1,227.5623557,0.4,0.24,0.17
2,335.5209126,0.4,0.24,0.17
3,306.2994156,0.4,0.24,0.17
4,242.0245444,0.4,0.24,0.17
5,230.6088196,0.4,0.24,0.17
6,261.0214126,0.4,0.24,0.17
7,269.913756,0.4,0.24,0.17
8,240.1363846,0.4,0.24,0.17
9,217.9594418,0.4,0.24,0.17
10,237.6819163,0.4,0.24,0.17
11,268.8105734,0.4,0.24,0.17
12,262.9619359,0.4,0.24,0.17
13,232.0467517,0.4,0.24,0.17
14,239.0699225,0.4,0.24,0.17
15,301.5688688,0.4,0.24,0.17
16,337.1400656,0.4,0.24,0.17
17,240.1032109,0.4,0.24,0.17
18,10.01221104,0.4,0.24,0.17
19,-226.1270711,0.4,0.24,0.17
20,-335.2976798,0.4,0.24,0.17
21,-306.8159953,0.4,0.24,0.17
22,-242.3716973,0.4,0.24,0.17
23,-230.4625128,0.4,0.24,0.17
24,-260.7975851,0.4,0.24,0.17
25,-270.0231149,0.4,0.24,0.17
26,-240.4121364,0.4,0.24,0.17
27,-217.9738636,0.4,0.24,0.17
28,-237.4127636,0.4,0.24,0.17
29,-268.6750251,0.4,0.24,0.17
30,-263.1688492,0.4,0.24,0.17
31,-232.2194311,0.4,0.24,0.17
32,-238.7608172,0.4,0.24,0.17
33,-301.0353034,0.4,0.24,0.17
34,-337.2772744,0.4,0.24,0.17
35,-241.454074,0.4,0.24,0.17
36,-12.01378877,0.4,0.24,0.17
1,241.6986835,0.44,0.26,0.19
2,357.0778947,0.44,0.26,0.19
3,320.8989799,0.44,0.26,0.19
4,245.7199835,0.44,0.26,0.19
5,229.5878377,0.44,0.26,0.19
6,260.5674567,0.44,0.26,0.19
7,267.7383269,0.44,0.26,0.19
8,231.7043617,0.44,0.26,0.19
9,204.9907898,0.44,0.26,0.19
10,227.5088573,0.44,0.26,0.19
11,265.6039499,0.44,0.26,0.19
12,263.368384,0.44,0.26,0.19
13,231.6624,0.44,0.26,0.19
14,240.7194374,0.44,0.26,0.19
15,312.8901056,0.44,0.26,0.19
16,359.0479455,0.44,0.26,0.19
17,261.0317405,0.44,0.26,0.19
18,15.11398637,0.44,0.26,0.19
19,-240.1471003,0.44,0.26,0.19
20,-356.8596143,0.44,0.26,0.19
21,-321.5015274,0.44,0.26,0.19
22,-246.1343062,0.44,0.26,0.19
23,-229.4491858,0.44,0.26,0.19
24,-260.3389765,0.44,0.26,0.19
25,-267.8819333,0.44,0.26,0.19
26,-232.0324666,0.44,0.26,0.19
27,-205.014411,0.44,0.26,0.19
28,-227.1926564,0.44,0.26,0.19
29,-265.4197365,0.44,0.26,0.19
30,-263.5697884,0.44,0.26,0.19
31,-231.8417173,0.44,0.26,0.19
32,-240.3651108,0.44,0.26,0.19
33,-312.2628171,0.44,0.26,0.19
34,-359.134094,0.44,0.26,0.19
35,-262.4529871,0.44,0.26,0.19
36,-17.27139191,0.44,0.26,0.19
1,257.7761884,0.48,0.29,0.21
2,381.917346,0.48,0.29,0.21
3,337.6284144,0.48,0.29,0.21
4,248.7279179,0.48,0.29,0.21
5,225.5967807,0.48,0.29,0.21
6,257.1972499,0.48,0.29,0.21
7,264.9659746,0.48,0.29,0.21
8,225.426459,0.48,0.29,0.21
9,195.2957977,0.48,0.29,0.21
10,219.3750242,0.48,0.29,0.21
11,261.8333332,0.48,0.29,0.21
12,261.0419388,0.48,0.29,0.21
13,228.1788561,0.48,0.29,0.21
14,240.8830537,0.48,0.29,0.21
15,325.2985955,0.48,0.29,0.21
16,383.9475343,0.48,0.29,0.21
17,284.8871849,0.48,0.29,0.21
18,21.03705837,0.48,0.29,0.21
19,-256.0901659,0.48,0.29,0.21
20,-381.7029605,0.48,0.29,0.21
21,-338.3344402,0.48,0.29,0.21
22,-249.2321118,0.48,0.29,0.21
23,-225.4757496,0.48,0.29,0.21
24,-256.9535783,0.48,0.29,0.21
25,-265.1213621,0.48,0.29,0.21
26,-225.7899099,0.48,0.29,0.21
27,-195.3292552,0.48,0.29,0.21
28,-219.0286084,0.48,0.29,0.21
29,-261.6211374,0.48,0.29,0.21
30,-261.2487224,0.48,0.29,0.21
31,-228.3594511,0.48,0.29,0.21
32,-240.465534,0.48,0.29,0.21
33,-324.5582075,0.48,0.29,0.21
34,-383.9744243,0.48,0.29,0.21
35,-286.3880177,0.48,0.29,0.21
36,-23.37147176,0.48,0.29,0.21
1,274.8610306,0.53,0.32,0.23
2,409.5576231,0.53,0.32,0.23
3,358.0303578,0.53,0.32,0.23
4,254.961239,0.53,0.32,0.23
5,223.4058925,0.53,0.32,0.23
6,253.9081675,0.53,0.32,0.23
7,260.7450672,0.53,0.32,0.23
8,216.5415831,0.53,0.32,0.23
9,182.3775811,0.53,0.32,0.23
10,208.2327638,0.53,0.32,0.23
11,256.2162919,0.53,0.32,0.23
12,258.6057268,0.53,0.32,0.23
13,226.193906,0.53,0.32,0.23
14,243.5210732,0.53,0.32,0.23
15,340.5092492,0.53,0.32,0.23
16,411.5302235,0.53,0.32,0.23
17,310.8461927,0.53,0.32,0.23
18,27.81469709,0.53,0.32,0.23
19,-273.0254159,0.53,0.32,0.23
20,-409.3358892,0.53,0.32,0.23
21,-358.8381794,0.53,0.32,0.23
22,-255.5632925,0.53,0.32,0.23
23,-223.3154131,0.53,0.32,0.23
24,-253.662178,0.53,0.32,0.23
25,-260.9227213,0.53,0.32,0.23
26,-216.9475394,0.53,0.32,0.23
27,-182.4228161,0.53,0.32,0.23
28,-207.8507414,0.53,0.32,0.23
29,-255.9641827,0.53,0.32,0.23
30,-258.8041099,0.53,0.32,0.23
31,-226.3654908,0.53,0.32,0.23
32,-243.0355774,0.53,0.32,0.23
33,-339.6551442,0.53,0.32,0.23
34,-411.5002978,0.53,0.32,0.23
35,-312.4333916,0.53,0.32,0.23
36,-30.33846314,0.53,0.32,0.23
1,291.3848882,0.58,0.35,0.25
2,437.2095777,0.58,0.35,0.25
3,378.8493498,0.58,0.35,0.25
4,261.5685286,0.58,0.35,0.25
5,221.3234091,0.58,0.35,0.25
6,250.616574,0.58,0.35,0.25
7,256.6259551,0.58,0.35,0.25
8,207.8245387,0.58,0.35,0.25
9,169.4924438,0.58,0.35,0.25
10,196.9432865,0.58,0.35,0.25
11,250.4511116,0.58,0.35,0.25
12,256.1450114,0.58,0.35,0.25
13,224.1618191,0.58,0.35,0.25
14,245.8682113,0.58,0.35,0.25
15,355.2696969,0.58,0.35,0.25
16,438.9236727,0.58,0.35,0.25
17,337.1914005,0.58,0.35,0.25
18,35.35335641,0.58,0.35,0.25
19,-289.3961018,0.58,0.35,0.25
20,-436.9760584,0.58,0.35,0.25
21,-379.7575477,0.58,0.35,0.25
